Price,Pricing,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
CHF 7290,7593.75,Sport Boat,Linder power boats,new boat from stock,0,4.51,1.75,Aluminium,Switzerland ,195
CHF 7200,7500.00,Sport Boat,Fiberline power boats,"Used boat,Unleaded",1987,3.95,1.55,Plastic,Switzerland ,1201
DKK 49500,6653.23,Fishing Boat,Uttern power boats,Used boat,2007,5,2,,Denmark,204
EUR 6590,6590.00,Runabout,Schweizer power boats,"Used boat,Unleaded",1972,5.5,1.9,GRP,Germany,277
EUR 6500,6500.00,Cabin Boat,Cranchi power boats,"Used boat,Diesel",1990,6.28,2.27,GRP,Italy,85
EUR 6500,6500.00,Deck Boat,Corsiva power boats,new boat from stock,2018,5.7,2.2,GRP,Germany,122
EUR 6500,6500.00,Pontoon Boat,Brig power boats,"Used boat,Unleaded",2010,5,2.15,GRP,Italy,183
EUR 6500,6500.00,Cabin Boat,Dawncraft power boats,"Used boat,Unleaded",1968,8,2.1,GRP,Germany,289
EUR 6500,6500.00,Sport Boat,Invader power boats,"Used boat,Unleaded",1991,4.5,2.1,GRP,Austria,324
EUR 6500,6500.00,Classic,,"Used boat,Unleaded",1975,6.67,2.04,Wood,Spain,184
EUR 6490,6490.00,Cabin Boat,Hille power boats,Unleaded,1994,4.75,1.86,GRP,Germany,126
CHF 7000,7291.67,Sport Boat,Bienchen  power boats,Used boat,2018,3.2,1.5,GRP,Switzerland ,238
CHF 7000,7291.67,Cabin Boat,Fjord power boats,"Used boat,Unleaded",1980,7.26,2.9,GRP,Switzerland ,866
CHF 7000,7291.67,Bowrider,Ecofiber power boats,"Used boat,Unleaded",2000,4.15,1.65,GRP,Switzerland ,574
EUR 7800,7800.00,Sport Boat,Pollini power boats,new boat from stock,2019,5.2,2.06,,Italy,119
CHF 8300,8645.83,"Sport Boat,Working Boat",Italmarine power boats,"Used boat,Unleaded",1986,4.28,1.65,Aluminium,Switzerland ,205
CHF 8200,8541.67,Pilothouse,Lambro power boats,Used boat,0,6.16,2.48,GRP,Switzerland ,463
EUR 7640,7640.00,Deck Boat,Elan power boats,"Used boat,Unleaded",1985,4.5,2.1,GRP,Germany,200
CHF 8155,8494.79,Bowrider,Terhi power boats,"new boat from stock,Unleaded",2020,4.45,1.85,Thermoplastic,Switzerland ,462
EUR 7500,7500.00,Center console boat,Fletcher power boats,"Used boat,Unleaded",1996,4.5,1.7,GRP,Germany,201
EUR 7500,7500.00,Cabin Boat,,"Used boat,Diesel",1971,8.5,2.2,Steel,Netherlands,264
EUR 7500,7500.00,Sport Boat,Sessa power boats,"Used boat,Unleaded",1997,5.8,2.2,,Italy,336
EUR 7500,7500.00,Sport Boat,Fjord power boats,"Used boat,Unleaded",1971,5.7,2.2,GRP,Austria,137
EUR 7500,7500.00,Sport Boat,Ultramar power boats,"Used boat,Unleaded",1994,5.5,2.45,PVC,France,208
EUR 7500,7500.00,Cabin Boat,Yachting France power boats,"Used boat,Unleaded",1981,6.4,2.54,GRP,France,189
EUR 7500,7500.00,Center console boat,B2 Marine power boats,"Used boat,Unleaded",2005,5.23,2.15,PVC,France,131
EUR 7500,7500.00,Sport Boat,Volvo power boats,"Used boat,Unleaded",1995,5.8,2.28,GRP,Germany,490
EUR 7500,7500.00,Catamaran,,Used boat,2010,4.4,3,,Netherlands,145
EUR 8790,8790.00,Sport Boat,Fiberline power boats,new boat from stock,2019,4.4,1.65,,Germany,96
CHF 9400,9791.67,Sport Boat,Sunseeker power boats,"Used boat,Unleaded",1976,5.85,2.3,GRP,Switzerland ,280
EUR 8600,8600.00,Sport Boat,Mingolla power boats,Used boat,2019,5,2.1,,Italy,146
EUR 8600,8600.00,Sport Boat,Allegra power boats,new boat from stock,2018,5.3,2.2,,Italy,166
CHF 9265,9651.04,Sport Boat,Karel power boats,"new boat on order,Unleaded",2020,4.8,1.9,GRP,Switzerland ,873
CHF 9200,9583.33,Sport Boat,Beekmann power boats,"Used boat,Unleaded",1990,5.18,2.18,GRP,Switzerland ,258
EUR 8500,8500.00,Deck Boat,Salmeri Boote power boats,new boat from stock,2018,5.53,2.18,,Italy,221
EUR 8500,8500.00,Runabout,,"Used boat,Unleaded",1975,4,1.62,GRP,Slovenia,110
EUR 8500,8500.00,Center console boat,B2 Marine power boats,"Used boat,Unleaded",2001,5,1.98,,France,96
EUR 8500,8500.00,Center console boat,Allegra power boats,Used boat,2018,5.3,2.2,GRP,Italy,165
EUR 8500,8500.00,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1994,5.74,2.31,PVC,France,78
EUR 8500,8500.00,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2006,5.8,2.5,PVC,France,116
EUR 8500,8500.00,Sport Boat,Hellwig power boats,"Used boat,Unleaded",2016,3.1,1.4,GRP,Germany,250
EUR 8500,8500.00,Center console boat,Janmor power boats,"Used boat,Unleaded",2005,5.3,2.33,,France,173
EUR 8500,8500.00,"Deck Boat,Pilothouse,Sport Boat",,"Used boat,Unleaded",1998,7.9,2.5,Aluminium,Germany,738
CHF 10500,10937.50,Sport Boat,,"Used boat,Unleaded",2019,3.38,1.36,Wood,Switzerland ,503
EUR 9750,9750.00,Trawler,Gouwerok power boats,Used boat,1980,8.5,3,Steel,Netherlands,183
CHF 10500,10937.50,Fishing Boat,Marino CN power boats,"Used boat,Unleaded",2011,4.5,1.95,GRP,Switzerland ,465
CHF 10500,10937.50,Fishing Boat,Orkney power boats,Used boat,2016,,,,Switzerland ,393
CHF 10450,10885.42,Sport Boat,Marine power boats,new boat from stock,0,4.45,1.67,Aluminium,Switzerland ,162
EUR 9650,9650.00,Sport Boat,,"Used boat,Unleaded",1994,5.5,2.2,GRP,Germany,115
CHF 10400,10833.33,Sport Boat,Draco power boats,"Used boat,Unleaded",1984,6,2.3,GRP,Switzerland ,418
EUR 9599,9599.00,Cabin Boat,Crescent power boats,Unleaded,1992,5.65,2.2,GRP,Germany,185
