Price,Pricing,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
CHF 28000,29166.67,Wakeboard/Wakesurf,Malibu power boats,Used boat,0,6.1,2.28,GRP,Switzerland ,408
CHF 28000,29166.67,"Cabin Boat,Motor Yacht",Sea Ray power boats,"Used boat,Unleaded",1996,8.05,2.59,Plastic,Switzerland ,1136
EUR 25900,25900.00,Sport Boat,Marinello power boats,"new boat from stock,Unleaded",2015,5.3,2.3,,Germany,64
EUR 25900,25900.00,Sport Boat,BÃ©nÃ©teau power boats,new boat from stock,2019,6.43,2.5,,Germany,264
EUR 25900,25900.00,Cabin Boat,Sea Ray power boats,"Used boat,Unleaded",1995,8.05,2.59,GRP,Germany,278
EUR 25900,25900.00,Working Boat,,new boat from stock,0,7.49,2.43,Aluminium,Germany,114
EUR 25900,25900.00,Fishing Boat,Trophy power boats,"Used boat,Unleaded",2008,7.14,2.57,GRP,Slovenia,195
EUR 25900,25900.00,Sport Boat,Bayliner power boats,"Used boat,Unleaded",2018,4.89,2.22,,France,86
EUR 25900,25900.00,Center console boat,Bayliner power boats,"new boat from stock,Unleaded",2018,6,2,PVC,France,80
EUR 25900,25900.00,Motor Yacht,Fairline power boats,"Used boat,Diesel",1981,9.9,9.9,GRP,Germany,140
EUR 25900,25900.00,Sport Boat,Sunseeker power boats,"Used boat,Unleaded",1987,8.26,2.57,GRP,Germany,321
EUR 25900,25900.00,Sport Boat,Regal power boats,"Used boat,Unleaded",2007,6.7,2.5,PVC,France,165
EUR 25900,25900.00,Motor Yacht,,Unleaded,1979,10.3,3.25,GRP,Germany,53
EUR 25900,25900.00,Motor Yacht,Draco power boats,"Used boat,Diesel",1991,6.77,2.28,GRP,Germany,187
EUR 25900,25900.00,Sport Boat,Sunseeker power boats,Used boat,1987,8.26,2.57,,Germany,167
EUR 25900,25900.00,Cabin Boat,Chaparral power boats,"Used boat,Unleaded",1995,7.6,2.59,GRP,Germany,217
EUR 26800,26800.00,Pontoon Boat,Saver power boats,new boat from stock,2020,6.6,2.45,GRP,Italy,94
DKK 199000,26747.31,Sport Boat,Aquador power boats,Used boat,1996,6.82,2.68,,Denmark,173
CHF 28900,30104.17,Pilothouse,Drago Boats power boats,"new boat from stock,Unleaded",2017,5.1,2.13,GRP,Switzerland ,138
CHF 28900,30104.17,Center console boat,Morningstar power boats,"new boat from stock,Unleaded",2019,4.98,2,Aluminium,Switzerland ,173
CHF 28900,30104.17,Water ski,Nautique power boats,"Used boat,Unleaded",1996,2.32,5.6,GRP,Switzerland ,205
CHF 28900,30104.17,Center console boat,Morningstar power boats,new boat from stock,2019,5,2,Aluminium,Switzerland ,158
CHF 28900,30104.17,Cabin Boat,Galaxy power boats,"Used boat,Unleaded",1990,8.1,2.45,GRP,Switzerland ,654
EUR 26700,26700.00,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,6.5,2.4,GRP,Italy,97
EUR 26700,26700.00,Pilothouse,BÃ©nÃ©teau power boats,new boat from stock,2020,6.48,2.53,,Italy,104
EUR 26700,26700.00,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,6.5,2.4,GRP,Switzerland ,137
EUR 26620,26620.00,Deck Boat,Sessa power boats,new boat from stock,2020,6.1,2.33,GRP,Italy,224
CHF 28500,29687.50,Bowrider,Clear power boats,"Used boat,Unleaded",2014,6.15,2.2,GRP,Switzerland ,549
CHF 28700,29895.83,Bowrider,Bella power boats,Display Model,2018,5.3,2.2,GRP,Switzerland ,198
EUR 26537,26537.00,Deck Boat,Jeanneau power boats,"new boat from stock,Unleaded",0,6.59,2.48,GRP,Germany,62
EUR 26537,26537.00,Center console boat,Jeanneau power boats,new boat from stock,2020,6.77,2.48,GRP,Germany,55
EUR 27300,27300.00,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.42,2.59,,Italy,85
CHF 29500,30729.17,Fishing Boat,Linder power boats,"new boat from stock,Unleaded",2020,4.6,1.85,Aluminium,Switzerland ,191
CHF 29500,30729.17,Cabin Boat,Carver power boats,"Used boat,Unleaded",1996,8.43,2.62,GRP,Switzerland ,276
CHF 29500,30729.17,Motor Yacht,Windy power boats,"Used boat,Unleaded",1989,9.1,3,GRP,Switzerland ,457
CHF 29500,30729.17,Hardtop,Bella power boats,"Used boat,Diesel",2002,6.3,2.25,Plastic,Switzerland ,973
EUR 27284,27284.00,Sport Boat,Drago Boats power boats,"new boat from stock,Unleaded",0,5.95,2.28,GRP,Germany,139
EUR 27284,27284.00,Sport Boat,Drago Boats power boats,"new boat from stock,Unleaded",0,5.95,2.28,GRP,Germany,136
EUR 27236,27236.00,Deck Boat,Quicksilver power boats,"new boat from stock,Unleaded",0,6.12,2.4,GRP,Germany,47
EUR 27120,27120.00,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,5.07,2.12,GRP,Germany,56
EUR 27118,27118.00,Cabin Boat,Drago Boats power boats,"new boat from stock,Unleaded",0,5.97,2.26,GRP,Germany,89
CHF 29200,30416.67,Fishing Boat,Smartliner power boats,new boat from stock,2020,6.28,2.24,GRP,Switzerland ,228
EUR 27000,27000.00,Motor Yacht,Fairline power boats,"Used boat,Diesel",1981,9.8,3.3,GRP,Germany,128
EUR 27000,27000.00,Motor Yacht,Cranchi power boats,"Used boat,Unleaded",1992,9.5,3.29,GRP,Italy,120
EUR 27000,27000.00,Working Boat,,Used boat,1984,9.75,3.2,GRP,Netherlands,160
EUR 27925,27925.00,Deck Boat,Parker power boats,"new boat from stock,Unleaded",0,6.6,2.5,GRP,Germany,38
EUR 27900,27900.00,Working Boat,Viking power boats,new boat from stock,2020,7.52,2.43,Aluminium,Germany,227
EUR 27900,27900.00,Sport Boat,Sting power boats,new boat from stock,2016,6.08,2.37,GRP,Germany,111
EUR 27900,27900.00,Bowrider,Sea Ray power boats,"Used boat,Unleaded",2014,5.99,2.21,,Germany,351
EUR 27900,27900.00,Pilothouse,Marinello power boats,new boat from stock,2018,6.5,2.48,GRP,Germany,308
EUR 27900,27900.00,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2019,6.05,2.4,GRP,Italy,41
EUR 27900,27900.00,Deck Boat,,"new boat from stock,Unleaded",2019,6.25,2.28,,France,83
EUR 27900,27900.00,Motor Yacht,Doral power boats,"Used boat,Unleaded",1991,8.25,2.89,GRP,Netherlands,131
EUR 27900,27900.00,Sport Boat,Sunseeker power boats,"Used boat,Diesel",1992,8.78,2.75,GRP,Germany,377
EUR 27900,27900.00,Passenger boat,,"Used boat,Diesel",2004,9.1,3.1,,Poland,125
EUR 27900,27900.00,Cabin Boat,Bella power boats,"Used boat,Diesel",2007,7.05,2.47,GRP,Germany,294
EUR 27900,27900.00,Cabin Boat,,"Used boat,Diesel",2007,7.05,2.47,GRP,Germany,113
CHF 29900,31145.83,"Classic,Sport Boat,Water ski",Boesch power boats,"Used boat,Unleaded",1983,5.7,2.2,Wood,Switzerland ,511
CHF 29900,31145.83,Offshore Boat,Seebold power boats,"Used boat,Unleaded",1992,7.75,2.48,GRP,Switzerland ,359
EUR 27800,27800.00,Sport Boat,Stingray power boats,"Used boat,Unleaded",2003,6.9,2.5,,Switzerland ,455
CHF 31000,32291.67,Sport Boat,Nidelv power boats,"Used boat,Diesel",2001,6.1,2.3,GRP,Switzerland ,385
CHF 30900,32187.50,Bowrider,Linder power boats,new boat from stock,0,5.3,2.2,Aluminium,Switzerland ,120
CHF 30900,32187.50,Center console boat,AM Yacht power boats,"new boat from stock,Unleaded",0,5,2.1,,Switzerland ,181
EUR 28546,28546.00,Center console boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2020,6.43,2.5,PVC,France,27
EUR 28500,28500.00,Working Boat,Viking power boats,new boat from stock,2020,7.65,2.48,Aluminium,Germany,252
EUR 28500,28500.00,Cabin Boat,,"Used boat,Diesel",2004,8.25,2.7,GRP,Netherlands,76
EUR 28500,28500.00,Sport Boat,Bayliner power boats,"Used boat,Diesel",1997,8.69,3,GRP,Croatia,169
EUR 28500,28500.00,Sport Boat,ManÃ² power boats,"Used boat,Unleaded",2005,9.2,3,GRP,Italy,81
EUR 28500,28500.00,Deck Boat,Marinello power boats,"Used boat,Unleaded",2012,5.8,2.29,GRP,Germany,93
EUR 28500,28500.00,Cabin Boat,West Bay power boats,"Used boat,Diesel",1997,6.5,2.58,,Germany,131
EUR 28500,28500.00,Sport Boat,Cranchi power boats,"Used boat,Unleaded",1992,9,3,GRP,Croatia,143
EUR 28500,28500.00,Classic,,"Used boat,Electric",2013,5.38,1.75,Wood,Germany,92
EUR 28500,28500.00,Motor Yacht,Larson power boats,"Used boat,Unleaded",1998,8.83,3.04,GRP,Germany,241
EUR 29000,29000.00,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2018,6.75,2.54,GRP,Italy,161
EUR 29000,29000.00,Pontoon Boat,Seaswirl power boats,"Used boat,Diesel",2010,7,2.55,GRP,Italy,194
EUR 29000,29000.00,Cabin Boat,Bella power boats,"Used boat,Diesel",2005,7.05,2.47,GRP,Netherlands,196
EUR 29000,29000.00,Center console boat,Boston Whaler power boats,"Used boat,Unleaded",1990,7.4,2.74,,Italy,215
EUR 29000,29000.00,Motor Yacht,Princess power boats,"Used boat,Diesel",1979,11,3.78,GRP,Croatia,314
EUR 29000,29000.00,Sport Boat,Cobalt power boats,"Used boat,Unleaded",2001,6.86,2.59,GRP,Italy,119
EUR 29000,29000.00,Motor Yacht,,"Used boat,Diesel",1993,10.72,3.6,GRP,Italy,75
EUR 29000,29000.00,Cabin Boat,Apreamare power boats,"Used boat,Diesel",1993,8.05,2.85,GRP,Italy,205
EUR 29000,29000.00,Sport Boat,Cranchi power boats,"Used boat,Unleaded",2000,7.57,2.59,GRP,Italy,64
EUR 29000,29000.00,Motor Yacht,Bayliner power boats,"Used boat,Unleaded",1990,9.2,3.25,GRP,Italy,233
EUR 29000,29000.00,Pilothouse,Polar Boats power boats,"Used boat,Diesel",1987,8.77,3.18,GRP,Germany,199
EUR 29000,29000.00,Trawler,,Used boat,1973,10,3.2,Steel,Netherlands,58
EUR 29000,29000.00,Pilothouse,Faeton power boats,"Used boat,Unleaded",2000,7.9,2.8,PVC,Spain,87
EUR 29000,29000.00,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2009,7.01,2.5,PVC,Belgium,393
EUR 29000,29000.00,Sport Boat,Maxum power boats,"Used boat,Unleaded",2000,7.23,2.56,,France,175
EUR 29000,29000.00,Bowrider,Four Winns power boats,"Used boat,Unleaded",2006,7.77,2.59,,France,140
EUR 29900,29900.00,Trawler,,"Used boat,Diesel",1994,8,3.2,Steel,Netherlands,122
EUR 29900,29900.00,Sport Boat,Boston Whaler power boats,"Used boat,Unleaded",1992,7.85,2.47,PVC,France,100
EUR 29900,29900.00,Cabin Boat,Skarpnes power boats,Used boat,1984,9.1,3.3,GRP,Netherlands,94
EUR 29900,29900.00,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1987,8.23,3.05,GRP,Germany,90
EUR 29800,29800.00,Sport Boat,Saver power boats,"Display Model,Unleaded",2019,5.6,2.23,GRP,Germany,87
EUR 29800,29800.00,Bowrider,Jeanneau power boats,"Used boat,Unleaded",2018,5.21,2.36,PVC,France,46
EUR 29800,29800.00,Sport Boat,Nidelv power boats,"Used boat,Unleaded",2005,6.26,2.3,GRP,Germany,622
EUR 29750,29750.00,Cabin Boat,,Used boat,1963,9.4,2.8,Steel,Netherlands,159
EUR 29650,29650.00,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,5.07,2.12,GRP,Germany,102
CHF 32000,33333.33,Sport Boat,Ranieri power boats,"Used boat,Unleaded",2018,5.65,2.2,GRP,Switzerland ,288
DKK 220000,29569.89,Motor Yacht,Regal power boats,"Used boat,Unleaded",1999,8.75,2.85,GRP,Denmark,382
EUR 29500,29500.00,Sport Boat,Rancraft power boats,"Used boat,Unleaded",2001,7.5,2.59,GRP,Belgium,146
EUR 30000,30000.00,Classic,Storebro power boats,"Used boat,Unleaded",1954,7.5,2.4,Wood,Germany,87
EUR 30000,30000.00,Flybridge,Bertram Yacht power boats,"Used boat,Diesel",1985,9.5,3.52,,Italy,95
EUR 30000,30000.00,Motor Yacht,Blumar power boats,"Used boat,Unleaded",2008,8.01,2.85,GRP,Italy,253
EUR 30000,30000.00,Cabin Boat,Crownline power boats,"Used boat,Unleaded",1995,8.13,2.5,GRP,Germany,677
EUR 30000,30000.00,"Classic,Sport Boat",Ilver power boats,"Used boat,Unleaded",1978,7.8,2.67,GRP,Netherlands,313
EUR 30000,30000.00,Motor Yacht,Blohm + Voss power boats,"Used boat,Unleaded",1970,10,3.25,GRP,Germany,324
EUR 30000,30000.00,Sport Boat,Arvor power boats,"Used boat,Diesel",2008,7,2,GRP,Croatia,87
EUR 30000,30000.00,Sport Boat,Quicksilver power boats,"Used boat,Unleaded",2001,9.4,2.96,PVC,France,122
EUR 30000,30000.00,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2002,9,3,GRP,Italy,234
EUR 30000,30000.00,Sport Boat,Slepsk power boats,"Used boat,Electric",2010,5.87,2.32,GRP,Austria,144
EUR 30000,30000.00,Pontoon Boat,Acroplast power boats,"Used boat,Electric",2015,7.8,2.5,GRP,France,137
EUR 30000,30000.00,Motor Yacht,Wellcraft power boats,"Used boat,Diesel",1991,10.2,3.5,GRP,Italy,162
EUR 30000,30000.00,Cabin Boat,,"Used boat,Diesel",1989,11.9,3.2,Steel,Germany,227
EUR 30900,30900.00,Deck Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2018,5.5,2.34,PVC,France,69
EUR 30900,30900.00,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",1979,10,3.5,GRP,Germany,167
EUR 30825,30825.00,Bowrider,Parker power boats,"new boat from stock,Unleaded",2019,6.05,2.25,GRP,Germany,65
EUR 30820,30820.00,Pilothouse,BÃ©nÃ©teau power boats,new boat from stock,0,5.7,2.4,GRP,Germany,143
EUR 30820,30820.00,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,5.07,2.12,GRP,Germany,62
EUR 30810,30810.00,Motor Yacht,Parker power boats,"new boat from stock,Unleaded",2019,6.05,2.25,GRP,Germany,71
EUR 30781,30781.00,Sport Boat,Parker power boats,"new boat from stock,Unleaded",0,6.05,2.25,GRP,Germany,65
CHF 33000,34375.00,Pilothouse,Scand power boats,"Used boat,Diesel",1992,7.8,2.85,,Switzerland ,320
CHF 33000,34375.00,Cabin Boat,Hollandia power boats,"Used boat,Diesel",1991,10.3,3.3,Steel,Switzerland ,576
EUR 30699,30699.00,Bowrider,Bayliner power boats,"new boat on order,Unleaded",2020,5.7,2.26,GRP,Germany,136
EUR 30645,30645.00,Deck Boat,Quicksilver power boats,"new boat from stock,Unleaded",0,6.12,2.4,GRP,Germany,63
CHF 33000,34375.00,Pilothouse,Selection Boats power boats,"new boat from stock,Unleaded",0,5.6,2.35,,Switzerland ,133
CHF 33000,34375.00,Motor Yacht,Regal power boats,"Used boat,Unleaded",1989,8.5,2.55,GRP,Switzerland ,1033
CHF 32730,34093.75,Fishing Boat,FÃ¼llemann power boats,new boat from stock,2018,6.03,1.9,GRP,Switzerland ,164
EUR 30500,30500.00,Cabin Boat,Quicksilver power boats,"new boat from stock,Unleaded",2020,5.5,2.29,,France,92
EUR 32000,32000.00,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2001,7.8,2.95,,Italy,208
EUR 32000,32000.00,Sport Boat,Gobbi power boats,Unleaded,1996,8.73,2.98,GRP,Germany,64
EUR 32000,32000.00,Sport Boat,Bayliner power boats,"Used boat,Diesel",1995,7,2.59,Carbon Fiber,Spain,150
CHF 34500,35937.50,Cabin Boat,Bella power boats,Used boat,2005,6.5,2.42,GRP,Switzerland ,535
EUR 31900,31900.00,Sport Boat,Bayliner power boats,"Used boat,Unleaded",2000,9,2,GRP,Croatia,295
EUR 31900,31900.00,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2010,7.23,2.78,PVC,France,74
EUR 31900,31900.00,Sport Boat,Cobalt power boats,"Used boat,Unleaded",1999,7.62,2.59,GRP,Germany,146
EUR 31900,31900.00,Sport Boat,Larson power boats,"Used boat,Unleaded",2001,6.7,2.5,Plastic,Germany,225
EUR 31830,31830.00,Bowrider,Galia power boats,"new boat from stock,Unleaded",2019,5.2,2.1,GRP,Switzerland ,166
EUR 31800,31800.00,House Boat,,new boat from stock,2020,12.5,4.2,Wood,Poland,290
CHF 34340,35770.83,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.12,2.4,GRP,Switzerland ,158
EUR 31690,31690.00,Pilothouse,BÃ©nÃ©teau power boats,new boat from stock,0,8.23,2.79,GRP,Germany,105
CHF 34000,35416.67,Sport Boat,Ilver power boats,"Used boat,Unleaded",1984,10.8,3.1,GRP,Switzerland ,280
EUR 32500,32500.00,Trawler,Pedro power boats,Used boat,1982,8.6,2.8,Steel,Netherlands,146
EUR 32500,32500.00,Pontoon Boat,Cantieri Nautici Ferrario power boats,"new boat from stock,Unleaded",2019,6.5,2.4,GRP,Italy,36
EUR 32500,32500.00,Bowrider,Rinker power boats,"Used boat,Unleaded",2009,6.4,2.49,,France,120
EUR 32500,32500.00,Cabin Boat,Coverline power boats,"Used boat,Diesel",2006,7.6,2.5,GRP,Germany,175
EUR 32500,32500.00,Runabout,AYROS power boats,new boat from stock,2019,6.99,2.55,GRP,Italy,81
EUR 32500,32500.00,Trawler,,"Used boat,Diesel",1959,39.13,5.1,Steel,Netherlands,87
EUR 32500,32500.00,Motor Yacht,,Used boat,1969,9.4,3.1,Steel,Netherlands,106
EUR 32500,32500.00,Trawler,,Used boat,1980,10.8,3.25,Steel,Netherlands,152
EUR 32500,32500.00,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1991,9.95,2.74,GRP,Germany,396
EUR 32500,32500.00,Sport Boat,,"Used boat,Unleaded",1990,8.85,2.9,GRP,Germany,314
EUR 32500,32500.00,Trawler,,Used boat,1977,10.3,3.15,Steel,Netherlands,104
EUR 32500,32500.00,Motor Yacht,,Used boat,1909,11.5,3.6,Steel,Netherlands,161
EUR 32500,32500.00,Sport Boat,Bayliner power boats,"Used boat,Unleaded",2002,8.76,3,PVC,Netherlands,212
EUR 32490,32490.00,Trawler,,"new boat from stock,Diesel",1980,11.65,3.25,Steel,Germany,140
EUR 32490,32490.00,Center console boat,Pacific Craft power boats,"Used boat,Unleaded",2018,6.24,2.5,PVC,France,36
EUR 33000,33000.00,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2007,7.3,2.55,PVC,Slovak Republic,113
EUR 33000,33000.00,Flybridge,Fiart Mare power boats,"Used boat,Diesel",1989,11.34,3.68,GRP,Italy,139
EUR 33000,33000.00,Center console boat,,"Used boat,Unleaded",2013,6.3,2.4,,Italy,63
EUR 33000,33000.00,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2015,5.79,2.46,PVC,France,74
EUR 33000,33000.00,Sport Boat,Princess power boats,Used boat,1984,9.28,3.36,,Italy,149
EUR 33000,33000.00,"Classic,Motorsailer",,"Used boat,Diesel",1986,10.6,3.25,Wood,Turkey,43
EUR 33000,33000.00,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2006,7.62,2.56,GRP,Greece,165
EUR 33000,33000.00,Sport Boat,Antaris power boats,"Used boat,Unleaded",2008,7,2,GRP,Croatia,63
EUR 33000,33000.00,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2012,7.23,2.78,PVC,France,101
EUR 33000,33000.00,Sport Boat,IRON power boats,new boat on order,2020,6.52,2.44,GRP,Germany,87
EUR 33000,33000.00,Center console boat,Ranieri power boats,"Used boat,Unleaded",2013,8.05,2.5,PVC,France,107
EUR 33000,33000.00,Cabin Boat,Cranchi power boats,"Used boat,Unleaded",2000,9.1,2.9,GRP,Italy,118
EUR 33000,33000.00,"Sport Boat,Wakeboard/Wakesurf",MasterCraft power boats,"Used boat,Unleaded",2006,6.1,2.5,Carbon Fiber,Poland,596
EUR 33000,33000.00,"Cabin Boat,Motor Yacht",Coverline power boats,"Used boat,Diesel",2004,8.39,2.39,GRP,Austria,403
EUR 33000,33000.00,Sport Boat,Cranchi power boats,Used boat,2002,8.5,3,GRP,Italy,187
EUR 34000,34000.00,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2017,5.72,2.4,PVC,Spain,75
EUR 34000,34000.00,Deck Boat,Sunchaser power boats,Used boat,2019,6.17,2.5,Aluminium,Italy,80
EUR 34000,34000.00,Sport Boat,ST power boats,"Used boat,Unleaded",2012,7.65,2.98,PVC,France,70
EUR 34000,34000.00,Cabin Boat,Chaparral power boats,"Used boat,Diesel",1993,9.2,3,GRP,Germany,166
EUR 34000,34000.00,Bowrider,Cobalt power boats,"Used boat,Unleaded",2004,7.5,,,Portugal,286
EUR 34000,34000.00,Cabin Boat,Maxum power boats,"Used boat,Unleaded",2005,7.92,2.59,GRP,Germany,284
EUR 33950,33950.00,Sport Boat,Bayliner power boats,"new boat from stock,Unleaded",2020,6.8,2.3,,Germany,82
EUR 33950,33950.00,Launch,,new boat from stock,2020,7.1,2.5,,Germany,104
EUR 33900,33900.00,Sport Boat,Marinello power boats,new boat from stock,2015,7.45,2.49,,Germany,130
EUR 33900,33900.00,Sport Boat,Rio power boats,"Used boat,Unleaded",2005,7.9,2.55,GRP,Germany,248
EUR 33900,33900.00,Cabin Boat,Chaparral power boats,"Used boat,Unleaded",1997,9.5,3,GRP,Germany,272
EUR 33900,33900.00,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",2004,8,2,GRP,Croatia,244
EUR 33900,33900.00,Sport Boat,Rinker power boats,"Used boat,Unleaded",2000,8.46,2.76,GRP,Germany,249
EUR 33900,33900.00,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2019,5.64,2.45,,France,31
EUR 34900,34900.00,Sport Boat,Quicksilver power boats,"new boat from stock,Unleaded",2020,5.5,2.29,,France,97
EUR 34900,34900.00,Deck Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2017,6.4,2.52,PVC,France,39
EUR 34900,34900.00,Sport Boat,Saver power boats,"Used boat,Unleaded",2006,7.5,2.64,PVC,Spain,126
EUR 34900,34900.00,Cabin Boat,Cranchi power boats,"Used boat,Unleaded",2002,8.44,2.97,GRP,Germany,177
EUR 34900,34900.00,Center console boat,Invictus power boats,"new boat from stock,Unleaded",2020,7.45,2.5,GRP,Switzerland ,301
EUR 34900,34900.00,Pontoon Boat,Faeton power boats,"Used boat,Unleaded",2006,7.49,2.7,GRP,Italy,206
EUR 34900,34900.00,Sport Boat,Maxum power boats,"Used boat,Unleaded",1998,9,3,GRP,Croatia,158
EUR 34900,34900.00,Sport Boat,Chaparral power boats,"Used boat,Unleaded",2007,7,2,PVC,Spain,103
EUR 34900,34900.00,Fishing Boat,Osprey power boats,new boat from stock,2000,8,2.8,GRP,Netherlands,128
EUR 34900,34900.00,Sport Boat,Galeon power boats,"Used boat,Unleaded",2012,6.82,2.51,PVC,Netherlands,93
EUR 34900,34900.00,"House Boat,Motor Yacht",Pedro power boats,"Used boat,Diesel",1980,11.7,3.5,Steel,Italy,353
EUR 34900,34900.00,Motor Yacht,,Used boat,1981,13,2.5,Aluminium,Netherlands,215
EUR 34828,34828.00,Pilothouse,Jeanneau power boats,new boat from stock,2019,6.4,2.45,GRP,Switzerland ,220
EUR 34800,34800.00,Pontoon Boat,Saver power boats,"Display Model,Unleaded",2020,7.75,2.55,GRP,Italy,295
EUR 34800,34800.00,Sport Boat,Crownline power boats,"Used boat,Diesel",1999,7,2.6,GRP,Germany,172
EUR 35000,35000.00,Bowrider,Sea Ray power boats,"Used boat,Unleaded",2004,7.92,2.44,GRP,Spain,162
EUR 35000,35000.00,Sport Boat,Crownline power boats,Used boat,2009,6.83,2.59,GRP,Italy,160
EUR 35000,35000.00,Deck Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2016,6.23,2.52,PVC,France,42
EUR 35000,35000.00,Motor Yacht,Sea Ray power boats,Used boat,1990,9.3,3.2,GRP,Germany,158
EUR 35000,35000.00,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1987,6.15,2,GRP,Turkey,51
EUR 35000,35000.00,Pilothouse,Jeanneau power boats,"Used boat,Diesel",2004,8.25,2.94,PVC,France,85
EUR 35000,35000.00,Sport Boat,,"Used boat,Unleaded",2009,7.25,2.57,GRP,Croatia,63
EUR 35000,35000.00,Pilothouse,Ocqueteau power boats,"Used boat,Diesel",2003,8.35,2.95,PVC,France,69
EUR 35000,35000.00,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2005,7.6,2.75,PVC,France,38
EUR 35000,35000.00,Sport Boat,,Used boat,1997,7.75,3.21,GRP,Italy,29
EUR 35000,35000.00,Sport Boat,Cruisers Yachts power boats,"Used boat,Unleaded",1994,9.7,3.2,GRP,Germany,128
EUR 35000,35000.00,Fishing Boat,San Remo power boats,"Used boat,Unleaded",2017,6.35,2.5,GRP,Portugal,92
EUR 35000,35000.00,Cabin Boat,Cranchi power boats,"Used boat,Unleaded",1996,9.69,3.07,GRP,Italy,199
EUR 35000,35000.00,Motor Yacht,Four Winns power boats,"Used boat,Unleaded",1992,9.95,3.15,GRP,Netherlands,172
EUR 35000,35000.00,Trawler,Ten Broeke power boats,"Used boat,Diesel",1978,9.5,3,,Austria,144
EUR 35000,35000.00,Motor Yacht,Gillissen power boats,Used boat,1968,9.7,3.3,Steel,Netherlands,49
EUR 35499,35499.00,Bowrider,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.2,2.34,GRP,Germany,48
EUR 35450,35450.00,Cabin Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,5.94,2.4,GRP,Germany,40
EUR 35419,35419.00,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,5.56,2.26,PVC,France,27
EUR 35400,35400.00,Sport Boat,Gropp power boats,"new boat from stock,Unleaded",2020,6.9,1.78,Aluminium,Switzerland ,106
EUR 35250,35250.00,Bowrider,Bayliner power boats,"new boat from stock,Unleaded",2020,5.7,2.26,GRP,Germany,131
EUR 35200,35200.00,Pilothouse,Quicksilver power boats,"Used boat,Unleaded",2016,5.75,2.54,PVC,France,114
EUR 35200,35200.00,Pilothouse,Quicksilver power boats,Used boat,2016,5.75,2.54,PVC,France,93
EUR 35160,35160.00,Bowrider,Quicksilver power boats,"new boat on order,Unleaded",0,6.02,2.34,GRP,Germany,65
CHF 38000,39583.33,Motor Yacht,Tullio Abbate power boats,"Used boat,Unleaded",1998,11.5,2.85,GRP,Switzerland ,355
CHF 38000,39583.33,Deck Boat,Harris FloteBote power boats,"Used boat,Unleaded",2007,7.3,2.59,Aluminium,Switzerland ,325
CHF 38000,39583.33,Sport Boat,Rinker power boats,"Used boat,Unleaded",2002,7.16,2.59,GRP,Switzerland ,486
CHF 38000,39583.33,Runabout,Boesch power boats,"Used boat,Unleaded",1992,5.3,2.14,Wood,Switzerland ,320
CHF 38000,39583.33,Sport Boat,Colombo power boats,"Used boat,Unleaded",2004,6.94,2.27,GRP,Switzerland ,915
EUR 35150,35150.00,Pilothouse,Quicksilver power boats,"new boat from stock,Unleaded",0,6.55,2.54,GRP,Germany,68
EUR 35115,35115.00,Deck Boat,Quicksilver power boats,"new boat from stock,Unleaded",0,6.74,2.55,,Germany,30
CHF 37950,39531.25,Sport Boat,Bella power boats,new boat from stock,2019,6.58,2.38,GRP,Switzerland ,283
