Eur Price,Boat Type,Manufacturer,Year Built,Length,Width,Material,Location,Views Last 7 Days,Boat Condition,Engine Type
136364.58,Cabin Boat,Quicksilver (Brunswick Marine) power boats,2020,8.06,3,GRP,Switzerland ,159,new boat from stock,Unleaded
135312.5,Motor Yacht,Monterey power boats,2017,8.8,2.8,GRP,Switzerland ,193,new boat from stock,Unleaded
120833.33,Motor Yacht,nan,2008,14,3.96,nan,Denmark,169,Used boat,nan
120698.92,Pilothouse,Jeanneau power boats,2020,7,2,nan,Denmark,104,new boat from stock,nan
120551.08,Sport Boat,Bavaria power boats,2020,9.31,2.99,nan,Denmark,222,new boat from stock,nan
135718.75,Pilothouse,Bayliner power boats,2020,8.15,2.55,GRP,Switzerland ,278,new boat from stock,Unleaded
135208.33,Wakeboard/Wakesurf,Malibu power boats,2019,7.5,2.59,GRP,Switzerland ,908,Used boat,Unleaded
120000,Motor Yacht,Elan power boats,2006,11,3.51,GRP,Croatia,135,Used boat,Diesel
120000,Flybridge,nan,1974,14.91,4.43,GRP,Germany,102,Used boat,Diesel
120000,Flybridge,Edership power boats,1991,14,4,GRP,Croatia,143,Used boat,Diesel
120000,Center console boat,Sarnico power boats,1996,16.5,4.5,GRP,Italy,73,Used boat,Diesel
120000,Sport Boat,Italversil power boats,1990,11.96,2.7,GRP,Italy,71,Used boat,Diesel
120000,Motor Yacht,Elan power boats,2007,11.01,3.5,GRP,Croatia,224,Used boat,Diesel
120000,Center console boat,Prinz power boats,2008,11.4,3.85,GRP,Spain,113,Used boat,Diesel
125000,Flybridge,Mochi Craft power boats,1995,14.38,4.63,GRP,Italy,75,Used boat,Diesel
125000,Flybridge,BÃ©nÃ©teau power boats,2009,11.37,3.85,PVC,France,115,Used boat,Diesel
125000,Fishing Boat,Bertram power boats,1991,11.25,3.95,GRP,France,96,Used boat,Diesel
125000,Trawler,nan,1993,12.1,3.8,Steel,Netherlands,82,Used boat,nan
125000,Cabin Boat,Cranchi power boats,2010,10.35,3.49,GRP,France,83,Used boat,Diesel
125000,Motor Yacht,nan,1993,11.43,3.77,nan,Germany,161,Used boat,Diesel
124900,Motor Yacht,Astor power boats,1994,11.33,4.01,GRP,Germany,141,Used boat,Diesel
124900,Sport Boat,Quicksilver (Brunswick Marine) power boats,,9.02,2.98,nan,Germany,126,new boat from stock,nan
124900,Motor Yacht,Greenline power boats,2013,9.99,3.49,nan,Croatia,190,Used boat,nan
124900,Trawler,nan,2008,9.5,3.4,Steel,Netherlands,46,Used boat,nan
124900,Cabin Boat,Regal power boats,2020,7.9,2.5,GRP,Germany,89,new boat on order,nan
124900,Motor Yacht,Grandezza power boats,2014,8.3,2.85,GRP,Croatia,255,Used boat,Diesel
124900,Motor Yacht,Sealine power boats,1994,13,4.16,GRP,Germany,291,Used boat,Diesel
124900,Motor Yacht,Sealine power boats,1994,12.81,4.16,GRP,Germany,151,Used boat,Diesel
124800,House Boat,nan,2020,9,4,GRP,Poland,39,new boat from stock,nan
124712,Motor Yacht,Cobra Yachts power boats,2019,11,3.5,GRP,Poland,325,new boat from stock,Diesel
126000,Motor Yacht,Neptunus power boats,2001,12.96,3.78,GRP,Spain,70,Used boat,Diesel
126000,Motor Yacht,BÃ©nÃ©teau power boats,2006,12.62,3.99,PVC,France,100,Used boat,Diesel
125990,Pilothouse,Maxum power boats,2007,10.64,3.71,GRP,Croatia,70,Used boat,Unleaded
125900,Deck Boat,Jeanneau power boats,2020,9.12,2.98,PVC,France,33,new boat from stock,Unleaded
140625,Flybridge,Cranchi power boats,1995,12.39,3.84,GRP,Switzerland ,255,Used boat,Diesel
141666.67,Wakeboard/Wakesurf,Nautique power boats,2017,7.7,2.59,GRP,Switzerland ,780,Used boat,Unleaded
140979.17,Motor Yacht,Viper power boats,2020,8.65,2.59,GRP,Germany,242,new boat from stock,Unleaded
125000,Motor Yacht,Rizzardi power boats,1995,17.6,4.6,GRP,Italy,58,Used boat,Diesel
125000,Cabin Boat,Atlantis power boats,2007,10.67,3.6,GRP,Germany,364,Used boat,Diesel
125000,Motor Yacht,Princess power boats,1999,12.53,3.73,GRP,Portugal,464,Used boat,Diesel
125000,Motor Yacht,Cranchi power boats,2006,11.93,3.5,nan,Italy,54,Used boat,Diesel
125000,Runabout,Cranchi power boats,2017,9,3,GRP,Italy,155,Used boat,Unleaded
125000,Motor Yacht,nan,2008,10.16,3.18,GRP,Italy,105,Used boat,Unleaded
129000,Pilothouse,BÃ©nÃ©teau power boats,2019,9.1,2.98,PVC,France,28,new boat from stock,Unleaded
129000,Sport Boat,Sea Ray power boats,2015,10.13,2.96,GRP,Spain,142,Used boat,Unleaded
129000,Motor Yacht,Windy power boats,2004,11.96,3.41,GRP,Spain,119,Used boat,Diesel
129000,Hardtop,Seaway power boats,2012,9.99,3.49,GRP,Germany,162,Used boat,nan
129000,Motor Yacht,Atlantis power boats,2007,12.04,4,GRP,Italy,98,Used boat,Diesel
129000,Flybridge,ACM Dufour power boats,2008,11.75,3.71,PVC,France,118,Used boat,Diesel
129000,Flybridge,Edership power boats,1991,18,5.43,GRP,Croatia,274,Used boat,Diesel
129000,Trawler,Mainship power boats,2007,11,4.32,GRP,Turkey,58,Used boat,Diesel
129000,Trawler,Gillissen power boats,1995,13.5,4.05,Steel,Netherlands,86,Used boat,Diesel
129000,Trawler,nan,1996,11.8,3.8,Aluminium,Germany,78,Diesel,nan
129000,Flybridge,Sealine power boats,2004,11.75,3.78,GRP,Croatia,157,Used boat,Diesel
129000,Motor Yacht,Sessa power boats,2008,13.12,3.86,nan,Malta,105,Used boat,nan
129000,Motor Yacht,Sessa power boats,2009,12.8,3.66,nan,Italy,119,Used boat,nan
129000,Motor Yacht,Sessa power boats,2009,12.9,3.86,GRP,Malta,83,Used boat,nan
129000,Motor Yacht,Apreamare power boats,2005,9.98,3.56,nan,Italy,130,Used boat,nan
129000,Trawler,Smelne power boats,2005,11.2,3.8,Steel,Netherlands,81,Used boat,nan
130000,Deck Boat,Jeanneau power boats,2020,7.96,2.98,GRP,Italy,40,new boat from stock,Unleaded
130000,Motor Yacht,Innovazioni e Progetti power boats,2005,12.66,4.15,nan,Italy,83,Used boat,nan
130000,Sport Boat,nan,1987,13.9,,nan,Spain,41,Used boat,nan
130000,Motor Yacht,Sunseeker power boats,1998,13.41,4.24,GRP,Spain,100,Used boat,Diesel
130000,Motor Yacht,3B Craft power boats,2005,11.7,,GRP,Italy,36,Used boat,Diesel
130000,Flybridge,Birchwood power boats,1987,13.51,4.56,GRP,Italy,54,Used boat,Diesel
130000,Motor Yacht,nan,2001,12.8,3.76,nan,Italy,19,Used boat,Diesel
130000,Motor Yacht,Azimut power boats,1997,12.35,3.98,GRP,Italy,128,Used boat,nan
130000,Center console boat,Jeanneau power boats,2020,9.12,2.98,PVC,France,95,new boat from stock,Unleaded
130000,Motor Yacht,Doqueve power boats,2003,11.89,3.66,GRP,Spain,32,Used boat,Diesel
130000,Motor Yacht,Sunseeker power boats,2002,14.11,4.24,GRP,Spain,129,Used boat,Diesel
130000,Flybridge,BÃ©nÃ©teau power boats,2015,10.22,3.33,PVC,Spain,115,Used boat,Diesel
130000,Hardtop,Baia power boats,2000,14.7,4.14,nan,Italy,79,Used boat,Diesel
130000,Sport Boat,AXOPAR power boats,2020,9.4,2.95,GRP,Poland,201,new boat on order,Unleaded
130000,House Boat,nan,2014,14.6,6,GRP,Denmark,357,Used boat,Unleaded
151041.67,Cabin Boat,Airon Marine power boats,2003,10.19,3.07,GRP,Switzerland ,122,Used boat,Unleaded
134000,Motor Yacht,Airon Marine power boats,2007,12.5,3.75,nan,Italy,79,Used boat,Diesel
134000,Cabin Boat,Viper power boats,,8.65,2.59,GRP,Germany,39,new boat from stock,Unleaded
134000,Wakeboard/Wakesurf,Nautique power boats,2020,7.35,2.54,GRP,Germany,115,new boat from stock,nan
134000,Trawler,Smelne power boats,1996,13.8,4.25,Steel,Netherlands,124,Used boat,nan
133900,Cabin Boat,Sea Ray power boats,2020,8.1,2.56,GRP,Germany,145,new boat from stock,nan
133736.56,Flybridge,Storebro power boats,1994,11.77,3.85,GRP,Denmark,156,Used boat,nan
133736.56,Sport Boat,Greenline power boats,2010,9.99,3.49,nan,Denmark,224,Used boat,nan
133500,Motor Yacht,ManÃ² power boats,2008,12,3.94,GRP,Italy,21,Used boat,Diesel
133500,Motor Yacht,ManÃ² power boats,2008,12,3.94,GRP,Italy,35,Used boat,Diesel
150000,Sport Boat,Heinrich power boats,2008,8,2.5,GRP,Switzerland ,154,Used boat,Diesel
133200,Cabin Boat,Viper power boats,,8.65,2.59,GRP,Germany,61,new boat from stock,Unleaded
133000,Flybridge,Edership power boats,1991,18,5,GRP,Croatia,118,Used boat,Diesel
133000,Motor Yacht,nan,2011,11.25,3.2,GRP,Turkey,114,Used boat,Unleaded
135000,Fishing Boat,Boston Whaler power boats,2019,7.75,2.74,nan,Italy,51,new boat from stock,Unleaded
135000,Flybridge,nan,1992,15.52,4.73,nan,Italy,189,Used boat,Diesel
135000,Motor Yacht,Fairline power boats,2001,12.26,3.66,nan,Italy,160,Used boat,Diesel
135000,Motor Yacht,Princess power boats,2002,12.19,3.81,nan,Italy,114,Used boat,Diesel
135000,Trawler,nan,1999,17.36,3.81,Steel,Netherlands,25,Used boat,Diesel
135000,Flybridge,Menorquin power boats,2006,11.34,3.76,GRP,Spain,91,Used boat,Diesel
135000,Sport Boat,Fratelli Aprea power boats,2005,9.6,3.9,GRP,Croatia,33,Used boat,Diesel
135000,Motor Yacht,Sea Ray power boats,1992,15,4.65,GRP,Germany,110,Used boat,nan
135000,Flybridge,Princess power boats,2002,12.19,3.81,nan,Croatia,270,Used boat,Diesel
135000,Flybridge,Neptunus power boats,1996,12.9,4.2,GRP,Netherlands,65,Used boat,nan
135000,Trawler,Hollandia power boats,2012,10.8,3.5,Steel,Germany,176,Used boat,Diesel
135000,"Classic,Motor Yacht",Vertens power boats,1980,13.6,3.94,Wood,Germany,93,Used boat,Diesel
135000,Center console boat,Innovazioni e Progetti power boats,2005,12.66,4.15,GRP,Italy,65,Used boat,nan
135000,Sport Boat,Sessa power boats,2006,12.9,3.85,nan,France,82,Used boat,Diesel
135000,Pilothouse,Menorquin power boats,2005,12.47,3.9,PVC,France,103,Used boat,Diesel
135000,Pilothouse,BÃ©nÃ©teau power boats,2019,9,2,PVC,France,47,new boat from stock,Unleaded
139000,Motor Yacht,Airon Marine power boats,2006,13.45,3.74,PVC,France,94,Used boat,Diesel
139000,Motor Yacht,Jeanneau power boats,2017,10,3.21,nan,France,59,Used boat,Unleaded
139000,Motor Yacht,Jeanneau power boats,2017,10,3.21,nan,France,90,Used boat,nan
139000,Motor Yacht,Smelne power boats,2000,12.65,4,Steel,Netherlands,90,Used boat,nan
139000,Center console boat,Jeanneau power boats,,9.12,2.98,PVC,France,68,new boat from stock,Unleaded
139000,Motor Yacht,Cranchi power boats,2005,11.93,3.5,GRP,Italy,223,Used boat,Diesel
139000,"Classic,Runabout",Chris Craft power boats,1958,5.5,2,Wood,Austria,78,Used boat,Electric
139000,"Cabin Boat,Hardtop,Trawler",Greenline power boats,2013,9.99,3.47,GRP,Germany,506,Used boat,Diesel
139000,Motor Yacht,De Boarnstream power boats,2006,10.7,3.65,Steel,Germany,1621,Used boat,Diesel
139000,Flybridge,BÃ©nÃ©teau power boats,2017,10.22,3.35,PVC,France,111,Used boat,Diesel
139000,Motor Yacht,De Boarnstream power boats,2006,10.5,3.65,Steel,Germany,205,Used boat,Diesel
138810,Cabin Boat,Bayliner power boats,2020,8.15,2.55,GRP,Germany,249,new boat from stock,Unleaded
156250,Flybridge,Viking Marin power boats,2007,9.85,3.35,GRP,Switzerland ,277,Used boat,Diesel
140000,Trawler,nan,1996,12,4,Steel,Netherlands,98,Used boat,nan
140000,Motor Yacht,Gobbi power boats,2005,14,4.02,GRP,Italy,111,Used boat,Diesel
157588.54,Sport Boat,Regal power boats,2021,8,2.6,GRP,Switzerland ,205,new boat from stock,Unleaded
139900,Motor Yacht,Windy power boats,2003,12.34,3.48,GRP,Croatia,116,Used boat,Diesel
139900,Motor Yacht,Bavaria power boats,2010,11.65,3.99,GRP,Germany,207,Used boat,Unleaded
139900,Motor Yacht,Sessa power boats,2006,12.9,3.85,GRP,Italy,63,Used boat,Diesel
139900,Motor Yacht,Proficiat power boats,2006,11.75,3.84,Steel,Germany,114,Used boat,nan
139900,Pilothouse,XO Boats power boats,2016,8.6,2.59,nan,Finland,134,Used boat,Unleaded
139900,Pilothouse,Jeanneau power boats,,8.9,2.99,PVC,France,52,new boat from stock,Unleaded
139900,"Motor Yacht,Sport Boat",Bavaria power boats,2008,11.95,3.99,GRP,Germany,173,Used boat,Diesel
139500,Trawler,nan,1929,26.08,4.88,Steel,Netherlands,34,Used boat,Diesel
139500,House Boat,Teltow Werft power boats,1957,27.8,6.71,Steel,Germany,163,Used boat,Diesel
139500,Trawler,Bavaria power boats,2012,11,3,GRP,Croatia,94,Used boat,Unleaded
139500,Trawler,Vedette power boats,2019,8.45,3.23,GRP,Netherlands,111,Used boat,nan
143819,Cabin Boat,Regal power boats,2021,7.9,2.5,GRP,Germany,132,new boat from stock,Unleaded
161458.33,Flybridge,Sealine power boats,2003,11.74,3.78,GRP,Switzerland ,471,Used boat,Diesel
143000,Sport Boat,Azimut power boats,2009,11.25,3.85,PVC,France,147,Used boat,Diesel
142900,Cabin Boat,Sea Ray power boats,2021,8.1,2.56,GRP,Germany,75,new boat on order,nan
142800,Cabin Boat,Cranchi power boats,2010,9.96,3.46,GRP,Switzerland ,321,Used boat,Diesel
142700,Sport Boat,Ganz Boats power boats,2017,7.7,2.5,nan,Italy,86,new boat from stock,nan
142576,Sport Boat,Cranchi power boats,2019,7.85,2.49,PVC,France,40,Used boat,nan
142500,Trawler,Marhen power boats,2010,12.5,3.9,Steel,Netherlands,93,Used boat,nan
142500,Sport Boat,Mirakul power boats,2020,9.19,3.1,GRP,Switzerland ,176,new boat on order,Diesel
142000,Motor Yacht,Sessa power boats,2008,10.6,3.53,GRP,Germany,73,Used boat,Unleaded
142000,Hardtop,Sessa power boats,2007,12.9,3.84,GRP,Italy,115,Used boat,Diesel
142000,Motor Yacht,Galeon power boats,2011,11.2,3.46,nan,Italy,154,Used boat,Diesel
141900,Cabin Boat,Sea Ray power boats,2021,8.1,2.56,GRP,Germany,101,new boat on order,Unleaded
145900,Deck Boat,Jeanneau power boats,2020,9.12,9.98,PVC,France,36,new boat from stock,Unleaded
145800,Motor Yacht,Cranchi power boats,2020,9.85,2.98,PVC,France,159,new boat on order,nan
145400,Motor Yacht,Delphia power boats,2019,9.95,3.45,nan,Italy,123,new boat from stock,nan
145000,Flybridge,nan,1997,13.8,4.5,GRP,Germany,92,Used boat,Diesel
145000,Motor Yacht,Gobbi power boats,2008,13,4,GRP,Croatia,247,Used boat,Diesel
145000,Motor Yacht,nan,2020,14.99,5,nan,Netherlands,105,Used boat,nan
145000,Flybridge,Rodman power boats,2006,11.9,4.2,GRP,Spain,48,Used boat,Diesel
145000,Motor Yacht,Cranchi power boats,2011,10.25,3.5,GRP,Slovenia,62,Used boat,Unleaded
145000,Pilothouse,Nimbus power boats,2004,11.5,3.6,GRP,Finland,225,Used boat,Diesel
145000,Flybridge,Menorquin power boats,2002,12.4,3.9,PVC,Spain,106,Used boat,Diesel
145000,Sport Boat,Sea Ray power boats,2006,14.08,4.27,PVC,Croatia,109,Used boat,Diesel
145000,Motor Yacht,BÃ©nÃ©teau power boats,2011,15.11,4.45,PVC,Croatia,62,Used boat,Diesel
145000,Fishing Boat,Robalo power boats,2011,8.89,3.2,GRP,Italy,48,Used boat,nan
145000,Center console boat,Fiart Mare power boats,2009,11.56,3.88,GRP,Italy,31,Used boat,nan
145000,Flybridge,Sealine power boats,2000,14.11,4.27,PVC,France,233,Used boat,Diesel
145000,Trawler,Smelne power boats,1998,12.8,3.9,Steel,France,68,Used boat,Diesel
149000,Sport Boat,Sessa power boats,2011,11.33,3.45,PVC,France,95,Used boat,Diesel
149000,Sport Boat,Four Winns power boats,2019,7.32,2.44,GRP,Spain,55,Used boat,Unleaded
149000,Flybridge,Neptunus power boats,1998,14.1,4.4,GRP,Netherlands,140,Used boat,nan
149000,Motor Yacht,Atlantis power boats,2006,13.7,4.02,nan,Italy,83,Used boat,Diesel
149000,Flybridge,Altena power boats,1986,14.95,4.4,Steel,Netherlands,93,Used boat,nan
149000,Flybridge,Azimut power boats,2000,14.9,4.4,GRP,Spain,140,Used boat,Diesel
149000,Motor Yacht,Galeon power boats,2016,10.8,3.35,nan,Spain,196,Used boat,Diesel
149000,Motor Yacht,Princess power boats,2001,13.15,3.73,GRP,France,208,Used boat,Diesel
149000,Classic,nan,2018,9.9,3.4,Steel,Netherlands,77,Used boat,nan
149000,Motor Yacht,Princess power boats,1993,15,4.5,GRP,Netherlands,146,Used boat,nan
149000,Motor Yacht,nan,2010,9.7,3.2,nan,Finland,142,Used boat,nan
149000,Flybridge,Azimut power boats,2001,12.99,4.16,nan,Croatia,141,Used boat,Diesel
148700,Flybridge,BÃ©nÃ©teau power boats,2010,11.4,3.85,PVC,France,94,Used boat,Diesel
148500,Motor Yacht,Chris Craft power boats,2017,8.13,2.6,GRP,Netherlands,67,Used boat,nan
149900,Motor Yacht,Sea Ray power boats,1992,15,4.65,GRP,Germany,67,Used boat,Diesel
149900,House Boat,nan,2020,8.5,3.8,Steel,Netherlands,38,new boat from stock,nan
149900,Pilothouse,Nord Star power boats,2011,10.1,3.15,GRP,Finland,97,Used boat,nan
149900,Motor Yacht,Raffaelli power boats,2001,14.6,4.4,GRP,Croatia,149,Used boat,Diesel
149900,House Boat,nan,1928,22.95,3.45,Steel,Belgium,76,Used boat,nan
149600,Sport Boat,Sea Ray power boats,2020,8.07,2.59,GRP,Austria,160,new boat from stock,Unleaded
149500,Flybridge,nan,1993,13.8,4.1,Steel,Netherlands,74,Used boat,Diesel
149500,Flybridge,nan,2007,12.45,4.3,nan,Netherlands,80,Used boat,nan
149500,Trawler,nan,1981,15.7,4.45,Steel,Netherlands,51,Used boat,Diesel
149500,Motor Yacht,Sarnico power boats,1998,16.7,4.38,GRP,Netherlands,83,Used boat,nan
149500,Sport Boat,SAY power boats,2016,8.85,2.78,Carbon Fiber,France,81,Used boat,Unleaded
149500,Sport Boat,Ganz Boats power boats,2017,7.65,2.5,GRP,Germany,39,Used boat,Unleaded
149500,Motor Yacht,nan,2013,11.45,3.45,Aluminium,Netherlands,59,Used boat,nan
149500,Motor Yacht,nan,1995,13.7,4,Steel,Netherlands,82,Used boat,Diesel
149500,Motor Yacht,nan,2011,10.2,3.5,Steel,Netherlands,141,Used boat,nan
151310,Bowrider,Sea Ray power boats,2020,7.89,2.59,nan,Germany,76,new boat from stock,Unleaded
151310,Sport Boat,Sea Ray power boats,2020,7.89,2.59,nan,Germany,99,new boat from stock,Unleaded
151310,Bowrider,Sea Ray power boats,2020,7.89,2.59,GRP,Germany,127,new boat from stock,Unleaded
150892,Motor Yacht,Jeanneau power boats,,9.23,3,GRP,Germany,69,new boat from stock,Unleaded
150565,Center console boat,De Antonio Yachts power boats,2020,7.99,2.95,GRP,Switzerland ,150,new boat on order,Unleaded
169270.83,Sport Boat,Cranchi power boats,2020,7.8,2.49,GRP,Switzerland ,56,new boat from stock,Unleaded
150000,Classic,nan,1984,9.25,2.25,nan,Germany,40,Used boat,Diesel
150000,Hardtop,Conam power boats,2005,14,4.4,GRP,Italy,77,Used boat,Diesel
150000,Bowrider,Frauscher power boats,2017,7.47,2.49,GRP,Switzerland ,598,Display Model,Unleaded
150000,Sport Boat,nan,1999,13.8,4.35,GRP,Italy,61,Used boat,Diesel
150000,Hardtop,Atlantis power boats,2009,13.7,4.8,GRP,Croatia,75,Used boat,Diesel
150000,Trawler,Gruno power boats,2005,11.4,3.9,Steel,Germany,193,Used boat,Diesel
150000,Flybridge,Rodman power boats,2005,11.78,3.91,GRP,Portugal,87,Used boat,Diesel
150000,Motor Yacht,Atlantis power boats,2009,13.53,4.08,GRP,Croatia,33,Used boat,Diesel
150000,Sport Boat,nan,1999,17.12,4.26,GRP,Italy,36,Used boat,nan
150000,Motor Yacht,Blue Navy power boats,2010,13.1,3.6,GRP,Italy,75,Used boat,Diesel
155000,Motor Yacht,Cranchi power boats,2014,9.3,3.24,GRP,Austria,52,Used boat,Unleaded
155000,Motor Yacht,Cantieri di Sarnico power boats,2002,14.85,4.3,GRP,Italy,78,Used boat,Diesel
155000,Motor Yacht,Fairline power boats,2005,12.25,3.39,GRP,Portugal,147,Used boat,Diesel
155000,Trawler,nan,1995,14.95,4.25,Steel,Netherlands,110,Used boat,nan
155000,Sport Boat,Jeanneau power boats,2019,10.57,3.21,nan,France,79,Used boat,Unleaded
155000,Hardtop,Bavaria power boats,2013,11.95,3.99,GRP,Turkey,65,Used boat,Unleaded
155000,Hardtop,Jeanneau power boats,2018,9.23,2.98,PVC,France,107,Used boat,Diesel
155000,Motor Yacht,nan,2005,11.1,3.37,nan,Spain,73,Used boat,Diesel
155000,Motor Yacht,Princess power boats,1999,15,4,GRP,Croatia,163,Used boat,Diesel
155000,Pilothouse,Nord Star power boats,2012,9.3,3.1,PVC,France,118,Used boat,Diesel
155000,Hardtop,Sessa power boats,2010,11.7,3.75,GRP,Italy,127,Used boat,Diesel
155000,"Cabin Boat,Motor Yacht,Sport Boat",Princess power boats,1998,12.65,3.8,GRP,Netherlands,302,Used boat,Diesel
155000,Flybridge,Sealine power boats,2002,14.26,4.3,GRP,France,206,Used boat,Diesel
155000,Sport Boat,Apreamare power boats,2001,10.7,3.93,GRP,France,145,Used boat,Diesel
155000,Motor Yacht,Princess power boats,1988,15.88,4.87,GRP,Croatia,152,Used boat,nan
155000,Hardtop,nan,2007,12.4,4.06,GRP,Italy,80,Used boat,Diesel
159000,Flybridge,Astondoa power boats,2003,13.9,4.3,GRP,Croatia,99,Used boat,Diesel
159000,Pilothouse,Rhea power boats,2014,8,3.15,PVC,France,99,Used boat,Diesel
159000,Motor Yacht,Fairline power boats,2008,12.13,3.64,GRP,Spain,151,Used boat,Diesel
159000,Sport Boat,Cranchi power boats,2019,7.89,2.5,GRP,Germany,132,new boat from stock,Unleaded
159000,Trawler,nan,1903,23.8,4.78,Steel,France,41,Used boat,nan
159000,Sport Boat,Sessa power boats,2011,11.33,3.53,PVC,United States,84,Used boat,Diesel
159000,Motor Yacht,Valk power boats,1993,14.25,4.2,Steel,Netherlands,66,Used boat,nan
159000,Trawler,nan,2007,12.6,4.18,Steel,Netherlands,80,Used boat,nan
159000,Wakeboard/Wakesurf,Correct Craft power boats,2009,6.38,2.41,GRP,Austria,134,Used boat,Unleaded
159000,Flybridge,Hatteras power boats,1990,19.94,5.49,GRP,Italy,74,Used boat,Diesel
159000,Flybridge,Rodman power boats,2005,13.67,4.21,nan,Italy,44,Used boat,Diesel
159000,Pilothouse,Marina Brodersby power boats,2015,7.93,2.4,GRP,Germany,99,Used boat,Diesel
159000,Trawler,nan,1984,15.6,4.2,Steel,Netherlands,56,Used boat,nan
159000,Motor Yacht,Wake power boats,2011,12.5,4.25,GRP,Italy,87,Used boat,Diesel
159000,Motor Yacht,Cruisers Yachts power boats,2004,14.02,4.3,GRP,Netherlands,72,Used boat,Diesel
159000,Sport Boat,Jeanneau power boats,2018,9.23,2.98,PVC,France,69,Used boat,Diesel
160000,Center console boat,Sunseeker power boats,1997,15.2,3.4,nan,France,147,Used boat,nan
160000,Motor Yacht,Baia power boats,2006,13.33,4.62,GRP,Italy,115,Used boat,Diesel
160000,Motor Yacht,nan,2014,7.6,2.25,Wood,Germany,303,Used boat,Unleaded
160000,Trawler,Hollandia power boats,2012,11,3.7,Steel,Germany,130,Used boat,Diesel
160000,Hardtop,Bavaria power boats,2010,12.95,4.28,nan,Italy,146,Used boat,Diesel
160000,Sport Boat,nan,2014,11.4,3.68,PVC,Spain,58,Used boat,Diesel
160000,Hardtop,BÃ©nÃ©teau power boats,2013,10,3.35,PVC,France,71,Used boat,nan
160000,Motor Yacht,ACM Dufour power boats,2000,10.99,3.95,GRP,Croatia,46,Used boat,Diesel
160000,Fishing Boat,Portofino Marine power boats,2010,9.48,3.54,GRP,Italy,39,Used boat,Diesel
160000,Motor Yacht,nan,2010,11.5,3.95,nan,Italy,29,Used boat,Diesel
160000,Pilothouse,Portofino Marine power boats,2011,11.47,3.54,GRP,Italy,45,Used boat,Diesel
160000,Motor Yacht,Airon Marine power boats,2008,11.2,3.75,GRP,Italy,32,Used boat,Diesel
160000,Hardtop,Di Donna power boats,2007,11.35,4.14,GRP,Italy,19,Used boat,Diesel
160000,Motor Yacht,nan,,19.59,5,Steel,Netherlands,60,Used boat,nan
160000,Hardtop,Di Donna power boats,2011,11.88,4,GRP,Italy,41,Used boat,Diesel
160000,Motor Yacht,Bavaria power boats,2014,10.8,3.59,nan,Spain,172,Used boat,Diesel
165000,Motor Yacht,Cranchi power boats,2005,14.45,4.1,GRP,Italy,94,Used boat,Diesel
165000,Motor Yacht,nan,2018,12,4,GRP,Croatia,166,Used boat,nan
165000,Center console boat,Rapsody power boats,2019,9.05,2.62,GRP,Netherlands,79,Used boat,nan
165000,Center console boat,Cantieri di Sarnico power boats,2008,12.72,3.88,GRP,Italy,42,Used boat,nan
165000,Hardtop,Bavaria power boats,2009,12.95,4.28,nan,Italy,140,Used boat,Diesel
165000,Classic,Pedrazzini power boats,1972,8,2.8,Wood,Germany,204,Used boat,Unleaded
165000,Flybridge,Cranchi power boats,2005,11.83,3.83,GRP,Italy,89,Used boat,nan
165000,Flybridge,Grand Banks power boats,1991,12.98,4.14,GRP,Spain,141,Used boat,Diesel
165000,Sport Boat,Ventus power boats,2013,9.3,2.65,Wood,France,34,Used boat,nan
165000,Trawler,Aquanaut power boats,1998,11.65,3.85,Steel,Turkey,130,Used boat,Diesel
165000,Motor Yacht,Bavaria power boats,2015,13.29,3.99,GRP,Italy,212,Used boat,Diesel
165000,Center console boat,nan,2003,12.5,4.43,GRP,Italy,75,Used boat,nan
165000,Motor Yacht,Tuccoli power boats,2018,9.13,3.04,GRP,Italy,51,Used boat,Unleaded
165000,Trawler,nan,1905,21.6,4.6,Steel,Netherlands,37,Used boat,Diesel
165000,Motor Yacht,Fiart Mare power boats,2014,10.89,3.54,nan,Italy,33,Used boat,Diesel
165000,Motor Yacht,BÃ©nÃ©teau power boats,2014,12.1,3.77,PVC,Croatia,138,Used boat,Diesel
169000,House Boat,Katwijker power boats,1910,23,4.8,Steel,Germany,222,Used boat,Diesel
169000,Motor Yacht,Cruisers Yachts power boats,2008,12.2,3.96,GRP,Croatia,60,Used boat,Diesel
169000,Trawler,nan,2001,12.3,4.07,Steel,Netherlands,48,Used boat,nan
169000,Motor Yacht,Gobbi power boats,2006,12,4.02,nan,Spain,83,Used boat,Diesel
169000,Flybridge,Astondoa power boats,2002,14.99,4.4,GRP,Netherlands,108,Used boat,Diesel
169000,Motor Yacht,nan,2013,10.5,3,GRP,Germany,89,Used boat,Diesel
169000,Motor Yacht,Sarins power boats,,11,3.4,Carbon Fiber,Finland,114,Used boat,Diesel
169000,Motor Yacht,Valk power boats,1993,14.9,4.3,Steel,Netherlands,59,Used boat,nan
169000,Motor Yacht,Delphia power boats,2016,10.8,3.45,GRP,Germany,357,Used boat,Diesel
169000,Trawler,nan,1996,13.7,4.2,Steel,Netherlands,154,Used boat,nan
168900,Hardtop,Bavaria power boats,2018,10.28,3.59,nan,Italy,121,new boat from stock,Unleaded
168500,Sport Boat,BÃ©nÃ©teau power boats,2020,9.95,3.35,PVC,France,27,new boat from stock,Unleaded
168010.75,Sport Boat,Yamarin power boats,2020,8,2,nan,Denmark,149,new boat from stock,nan
